NAMA PERUMAHAN,STATUS,TOTAL HUNIAN,RADIUS,SITE,TERRITORY,TIPE PERUMAHAN,TIPE PLN,AREA PLN,GRADING,KOMPETITOR
CITAYAM GRANDE 3,ACCEPTED,91,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA RAYA - TAMAN PUSPA (2),ACCEPTED,317,OVER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,UG,DKI,C,INDIHOME
CITRA SWARNA REGENCY,ACCEPTED,230,OVER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRALAND CIBUBUR - CLUSTER MONTEVERDE,ACCEPTED,360,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,UG,JABAR,C,INDIHOME
CITRALAND CIBUBUR - RUKO,ACCEPTED,120,UNDER 200,KAB. BOGOR,KABUPATEN,RUKO,UG,JABAR,C,INDIHOME
CLUSTER AGUNG INDAH,ACCEPTED,309,OVER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
CLUSTER ROYAL RESIDENCE EXT,ACCEPTED,245,OVER 200,JAKARTA TIMUR,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
CLUSTER SAKURA,ACCEPTED,294,OVER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CLUSTER SUMBER JAYA KOST (NO NAME),ACCEPTED,150,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CLUSTER TAMBUN 16 B,ACCEPTED,70,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
D' AREA PERMATA,ACCEPTED,65,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
D JOYO 8,ACCEPTED,72,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
DE LALADON,ACCEPTED,79,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME & OXYGEN
DELIMA RESIDENCE,ACCEPTED,65,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
DEPOK JAYA AGUNG,ACCEPTED,245,OVER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
DRAMAGA CANTIK 2 EXT,ACCEPTED,250,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
DUTA MEKAR ASRI,ACCEPTED,1169,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME & MY REPUBLIC
EMERALD LAND,ACCEPTED,104,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
FAMILIA URBAN - CLUSTER DHARMAWANGSA,ACCEPTED,146,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,UG,JABAR,C,INDIHOME
FAMILIA URBAN - CLUSTER GANESHA,ACCEPTED,299,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,UG,JABAR,C,INDIHOME
FAMILIA URBAN - CLUSTER GAYATRI,ACCEPTED,101,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,UG,JABAR,C,INDIHOME
GEMPOL SARI INDAH VILLAGE,ACCEPTED,150,UNDER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
GOLDEN CITY - CLUSTER GREEN WOOD,ACCEPTED,264,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,UG,JABAR,C,INDIHOME
GOLDEN KIRANA MANSION,ACCEPTED,280,OVER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
GRAHA GOLF CIBINONG,ACCEPTED,52,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME & BNETT
GRAHA PUSPA SARI,ACCEPTED,243,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,MY REPUBLIC
GRAHA PUSPA SARI 2,ACCEPTED,285,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,MY REPUBLIC
GRAHA SERPONG HIJAU,ACCEPTED,100,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRAND CIMANDALA RESIDENCE,ACCEPTED,179,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,FIBER STAR
GRAND MUSTIKA SARI,ACCEPTED,114,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRAND WISATA - FESTIVE GARDEN,ACCEPTED,271,OVER 200,KAB. BEKASI,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME & MY REPUBLIC
GRAND WISATA - LEMONADE GARDEN,ACCEPTED,200,OVER 200,KAB. BEKASI,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME & MY REPUBLIC
GRAND WISATA - WATER GARDEN,ACCEPTED,234,OVER 200,KAB. BEKASI,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME & MY REPUBLIC
GRAND WISATA - WATER SPRING,ACCEPTED,253,OVER 200,KAB. BEKASI,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME & MY REPUBLIC
GREEN DEPOK RESIDENCE 2,ACCEPTED,70,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GREEN EMERALD RESIDENCE,ACCEPTED,141,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GREEN GURU RESIDENCE,ACCEPTED,79,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,UG,JABAR,C,INDIHOME
GREEN LOTUS,ACCEPTED,110,UNDER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
