NAMA PERUMAHAN,STATUS,TOTAL HUNIAN,RADIUS,SITE,TERRITORY,TIPE PERUMAHAN,TIPE PLN,AREA PLN,GRADING,KOMPETITOR
TAJIR PULO RESIDENCE,ACCEPTED,70,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
TAMAN ALAMANDA 2,ACCEPTED,760,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
TAMAN CIMANGGU,ACCEPTED,1050,OVER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
TAMAN DRAMAGA INDAH,ACCEPTED,137,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
TAMAN JASMINE MAS,ACCEPTED,70,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,MY REPUBLIC
TAMAN KEDATON INDAH,ACCEPTED,136,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME & MY REPUBLIC
TAMAN MANGGIS INDAH,ACCEPTED,269,OVER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,MY REPUBLIC & BIZ NET
TAMAN SUKAHATI PERMAI,ACCEPTED,150,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
TAMAN TIRTA CIMANGGU,ACCEPTED,422,OVER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME & MY REPUBLIC
TERRACE COUNTRY RESIDENCE,ACCEPTED,360,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
THE AGATHIS,ACCEPTED,69,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
THE GREEN PARK RESIDENCE,ACCEPTED,100,UNDER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
THE HOLLY,ACCEPTED,224,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,UG,JABAR,C,INDIHOME
VIDA BEKASI - FRAMBOSA,ACCEPTED,462,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,BIZNET
VIDA BEKASI - TAMAN APEL,ACCEPTED,1114,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,BIZNET
VIDA BEKASI - TAMAN DURIAN,ACCEPTED,524,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,BIZNET
VILLA CASABLANCA,ACCEPTED,246,OVER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,UG,JABAR,C,INDIHOME
VILLA GADING EMAS,ACCEPTED,180,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
"VILLA MAS INDAH BLOK B, C, D & E",ACCEPTED,486,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME & FIBERSTAR
VILLA MUTIARA CIKARANG 1,ACCEPTED,1801,OVER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
VILLA NUANSA HIJAU,ACCEPTED,171,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,UG,JABAR,C,INDIHOME
VILLA PERMATA SANTI,ACCEPTED,131,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
VILLA PERWATA,ACCEPTED,65,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
VISAR INDAH PRATAMA 1,ACCEPTED,484,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,MY REPUBLIC
WARTAWANGSA RESIDENCE,ACCEPTED,204,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,UG,JABAR,C,INDIHOME
WISMA JAYA,ACCEPTED,1350,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME & MY REPUBLIC
ZAM-ZAM PARK,ACCEPTED,66,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
ZIARA VALLEY,ACCEPTED,76,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
ZIARA VALLEY - CLUSTER KENCANA,ACCEPTED,91,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
ADORA TOWNHOUSE,ACTIVE,20,UNDER 200,JAKARTA SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
AKASIA VALLEY,ACTIVE,110,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
ALAM TAJUR,ACTIVE,118,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME & MY REPUBLIC
ANCOL BARAT (3) MARINA COVE EXT,ACTIVE,25,UNDER 200,JAKARTA UTARA,KOTAMADYA,CLUSTER,UG,DKI,A,INDIHOME
ANCOL BARAT (3) METRO MARINA & MARINA COAST THE GREEN,ACTIVE,154,UNDER 200,JAKARTA UTARA,KOTAMADYA,CLUSTER,UG,DKI,A,INDIHOME
ANCOL TIMUR (1) PURI JIMBARAN & JIMBARAN RESIDENCE,ACTIVE,161,UNDER 200,JAKARTA UTARA,KOTAMADYA,CLUSTER,UG,DKI,A,INDIHOME
ANCOL TIMUR (2) PURI NUSA DUA,ACTIVE,33,UNDER 200,JAKARTA UTARA,KOTAMADYA,CLUSTER,UG,DKI,A,INDIHOME
"ANDARA VILLAGE TAHAP 1, DSK",ACTIVE,163,UNDER 200,KODYA DEPOK,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
ASTOM RESIDENCE,ACTIVE,82,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
ATSIRI PERMAI (1),ACTIVE,303,OVER 200,KAB. BOGOR,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
ATSIRI PERMAI (1) EXT,ACTIVE,129,UNDER 200,KAB. BOGOR,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
ATSIRI PERMAI (2),ACTIVE,79,UNDER 200,KAB. BOGOR,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
ATSIRI PERMAI (2) EXT,ACTIVE,409,OVER 200,KAB. BOGOR,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
ATSIRI PERMAI (3),ACTIVE,489,OVER 200,KAB. BOGOR,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
ATSIRI PERMAI (4),ACTIVE,333,OVER 200,KAB. BOGOR,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
ATSIRI PERMAI (4) EXT,ACTIVE,113,UNDER 200,KAB. BOGOR,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
BALAD RESIDENCE,ACTIVE,106,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
BALAI SAMUDERA (Ruang Department Pengelolaan Propeti) Ext,ACTIVE,1,UNDER 200,JAKARTA UTARA,KOTAMADYA,OPEN AREA,AERIAL,DKI,B,INDIHOME
BAMBOO RESIDENCE,ACTIVE,111,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
BANDENGAN AREA - JEMBATAN GAMBANG EXT,ACTIVE,86,UNDER 200,JAKARTA UTARA,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
BEKASI REGENCY 1 (1) RW.03,ACTIVE,295,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
BEKASI REGENCY 1 (2) RW.03,ACTIVE,331,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
BEKASI TIMUR PERMAI (1),ACTIVE,317,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
BEKASI TIMUR PERMAI (2),ACTIVE,300,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
BEKASI TIMUR PERMAI (3),ACTIVE,355,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
BEKASI TIMUR PERMAI (4),ACTIVE,347,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
BEKASI TIMUR PERMAI (5),ACTIVE,363,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
BEKASI TIMUR REGENCY 1 (2) BLOK E RW 13,ACTIVE,406,OVER 200,KODYA BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BEKASI TIMUR REGENCY 1 (3) BLOK F RW 14,ACTIVE,250,OVER 200,KODYA BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BEKASI TIMUR REGENCY 2 (5) BLOK O,ACTIVE,368,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
BEKASI TIMUR REGENCY 2 (6) BLOK Q,ACTIVE,420,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
BEKASI TIMUR REGENCY 2 (6) BLOK Q EXT,ACTIVE,26,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
BENDUNGAN HILIR AREA - JL. PENJERNIHAN DALAM EXT,ACTIVE,75,UNDER 200,JAKARTA PUSAT,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
BERANDA RESIDENCE,ACTIVE,46,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
BERANDA SERPONG EXT,ACTIVE,103,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
BIDARA CINA AREA - JL. PEDATI 1 EXT,ACTIVE,153,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
BIDARA CINA AREA - KOMPLEK POLRI EXT,ACTIVE,256,OVER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
BINTARO ARREA - JL. ANGGREK,ACTIVE,139,UNDER 200,TANGERANG SELATAN,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
BINTARO ASRI RESIDENCE,ACTIVE,45,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,B,INDIHOME
BINTARO GALLERY EXT,ACTIVE,202,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
BINTARO GRANDE RESIDENCE,ACTIVE,18,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
BINTARO PRATAMA EXT,ACTIVE,38,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,MIXED,DKI,C,INDIHOME
BINTARO PRIME RESIDENCE,ACTIVE,53,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BOGOR NIRWANA RESIDENCE (1),ACTIVE,262,OVER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,UG,JABAR,B,INDIHOME
BOGOR NIRWANA RESIDENCE (10) HARMONI 2,ACTIVE,353,OVER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,UG,JABAR,B,INDIHOME
BOGOR NIRWANA RESIDENCE (11) HARMONI 3,ACTIVE,154,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,UG,JABAR,B,INDIHOME
BOGOR NIRWANA RESIDENCE (2),ACTIVE,1,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,UG,JABAR,B,INDIHOME
BOGOR NIRWANA RESIDENCE (6),ACTIVE,110,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,UG,JABAR,B,INDIHOME
BOGOR NIRWANA RESIDENCE (7),ACTIVE,59,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,UG,JABAR,B,INDIHOME
BOGOR NIRWANA RESIDENCE (7) Cluster Cendana EXT,ACTIVE,119,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,UG,JABAR,B,INDIHOME
BOGOR NIRWANA RESIDENCE (7) VIP Gedung Tiket Jungle Fest EXT,ACTIVE,1,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,UG,JABAR,B,INDIHOME
BOGOR NIRWANA RESIDENCE (8),ACTIVE,100,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,UG,JABAR,B,INDIHOME
BOGOR NIRWANA RESIDENCE (8) CASA HARMONY EXT,ACTIVE,119,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,UG,JABAR,B,INDIHOME
BOGOR NIRWANA RESIDENCE (9) HARMONI 1,ACTIVE,188,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,UG,JABAR,B,INDIHOME
BOGOR NIRWANA RESIDENCE (9) HARMONI 1 EXT,ACTIVE,22,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,UG,JABAR,B,INDIHOME
BSD - ALEGRIA PARK,ACTIVE,186,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
"BSD BARAT - CASA DE PARCO, DE PARK, EMINENT, FORESTA, GREENWICH, NAVA PARK, SAVERIA & THE ICON",ACTIVE,6240,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - DE PARK CLUSTER DE BRASSIA,ACTIVE,102,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - DE PARK CLUSTER DE CAJUPUTI,ACTIVE,171,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - DE PARK CLUSTER DE FRANGIPANI,ACTIVE,68,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - DE PARK CLUSTER DE HELICONIA,ACTIVE,90,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - DE PARK CLUSTER DE MAJA,ACTIVE,137,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - DE PARK CLUSTER DE NAARA,ACTIVE,36,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - FORESTA & THE ICON,ACTIVE,989,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - FORESTA CLUSTER ALBERA,ACTIVE,204,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - FORESTA CLUSTER ALLEVARE,ACTIVE,95,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - FORESTA CLUSTER COLLINARE,ACTIVE,95,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - FORESTA CLUSTER FIORE,ACTIVE,116,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - FORESTA CLUSTER FOGLIO,ACTIVE,66,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - FORESTA CLUSTER FRESCO,ACTIVE,94,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - FORESTA CLUSTER FRESCO ARIA,ACTIVE,81,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - FORESTA CLUSTER GIARDINA,ACTIVE,111,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - FORESTA CLUSTER GIARDINA HEIGHTS,ACTIVE,12,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - FORESTA CLUSTER NATURALE,ACTIVE,325,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - FORESTA CLUSTER PLACIDO,ACTIVE,30,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - FORESTA CLUSTER PRIMAVERA,ACTIVE,88,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - FORESTA CLUSTER STUDENTO,ACTIVE,180,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - FORESTA CLUSTER ULTIMO,ACTIVE,63,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
"BSD BARAT - FORESTA, THE ICON & EMINENT",ACTIVE,2660,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - GREENWICH CLUSTER HYLANDS,ACTIVE,136,UNDER 200,KAB. TANGERANG,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - GREENWICH CLUSTER LUXMORE,ACTIVE,142,UNDER 200,KAB. TANGERANG,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - GREENWICH CLUSTER MYFIELD,ACTIVE,128,UNDER 200,KAB. TANGERANG,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - GREENWICH CLUSTER SHEFFIELD,ACTIVE,162,UNDER 200,KAB. TANGERANG,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - GREENWICH CLUSTER WHELFORD,ACTIVE,256,OVER 200,KAB. TANGERANG,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - GREENWICH CLUSTER WHITSAND,ACTIVE,149,UNDER 200,KAB. TANGERANG,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - THE EMINENT CLUSTER ILLUSTRIA,ACTIVE,256,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - THE EMINENT CLUSTER INGENIA,ACTIVE,192,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - THE EMINENT CLUSTER NEW VIVACIA,ACTIVE,162,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - THE EMINENT CLUSTER PRECIA,ACTIVE,160,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - THE EMINENT CLUSTER PRESTIGA,ACTIVE,212,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - THE EMINENT CLUSTER VIVACIA,ACTIVE,144,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - THE ICON CLUSTER JAKARTA TIMURERN COSMO,ACTIVE,425,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - THE ICON CLUSTER ETERNITY,ACTIVE,384,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - THE ICON CLUSTER RITZONE,ACTIVE,129,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - THE ICON CLUSTER SIMPLY CITY,ACTIVE,410,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - THE ICON CLUSTER THE CASPIA,ACTIVE,182,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - THE ICON CLUSTER VERDANT VIEW,ACTIVE,170,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - THE ICON CLUSTER VERDANT VILLE,ACTIVE,180,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD BARAT - THE ICON CLUSTER JAKARTA BARATERN COSMO,ACTIVE,244,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD TIMUR - THE GREEN CLUSTER BANYAN VILLE,ACTIVE,77,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD TIMUR - THE GREEN CLUSTER BLOSSOM VILLE ,ACTIVE,274,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD TIMUR - THE GREEN CLUSTER MANHATTAN FORUM,ACTIVE,38,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD TIMUR - THE GREEN CLUSTER MIRAGE,ACTIVE,68,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BSD TIMUR - THE GREEN CLUSTER VENETIAN,ACTIVE,76,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BUANA TAMAN SARI (1),ACTIVE,331,OVER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUANA TAMAN SARI (2),ACTIVE,185,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUANA TAMAN SARI RAYA (1),ACTIVE,217,OVER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUANA TAMAN SARI RAYA (2),ACTIVE,333,OVER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT ASRI CIOMAS INDAH (1),ACTIVE,215,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT ASRI CIOMAS INDAH (1) EXT,ACTIVE,13,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT ASRI CIOMAS INDAH (1) EXT,ACTIVE,40,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT ASRI CIOMAS INDAH (2),ACTIVE,109,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT ASRI CIOMAS INDAH (2) EXT,ACTIVE,132,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT ASRI CIOMAS INDAH (4),ACTIVE,276,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT CIMANGGU CITY (1),ACTIVE,366,OVER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT CIMANGGU CITY (12),ACTIVE,143,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT CIMANGGU CITY (12) Blok S5 Ext,ACTIVE,10,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT CIMANGGU CITY (13),ACTIVE,108,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT CIMANGGU CITY (3),ACTIVE,279,OVER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT CIMANGGU CITY (4),ACTIVE,412,OVER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT CIMANGGU CITY (6) Charnwood,ACTIVE,246,OVER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,B,INDIHOME
BUKIT CIMANGGU CITY (7) Greenwood EXT,ACTIVE,10,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,B,INDIHOME
BUKIT CIMANGGU CITY (7) OAKWOOD EXT,ACTIVE,154,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT CIMANGGU CITY (7) Sherwood & Greenwood,ACTIVE,259,OVER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,B,INDIHOME
BUKIT CIMANGGU CITY (8) Tropical Park View & Hills Park View,ACTIVE,182,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,B,INDIHOME
BUKIT DAGO - CLUSTER LAKE VIEW,ACTIVE,102,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
BUKIT DAGO - CLUSTER LAKE VIEW Blok G2 Ext,ACTIVE,10,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
BUKIT DAGO TERRACE EXT,ACTIVE,123,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
BUKIT DAGO TERRACE EXT,ACTIVE,38,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
BUKIT SAWANGAN INDAH (1),ACTIVE,323,OVER 200,KODYA DEPOK,KOTAMADYA,OPEN AREA,AERIAL,JABAR,C,INDIHOME & MY REPUBLIC
BUKIT SAWANGAN INDAH (2),ACTIVE,207,OVER 200,KODYA DEPOK,KOTAMADYA,OPEN AREA,AERIAL,JABAR,C,INDIHOME & MY REPUBLIC
BUKIT SAWANGAN INDAH (2) EXT,ACTIVE,111,UNDER 200,KODYA DEPOK,KOTAMADYA,OPEN AREA,AERIAL,JABAR,C,INDIHOME & MY REPUBLIC
BULAK MACAN PERMAI,ACTIVE,323,OVER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,JABAR,C,INDIHOME
BUMI BEKASI BARU 1 / PERUMAHAN RAWA LUMBU (1) RW 05,ACTIVE,365,OVER 200,KODYA BEKASI,KOTAMADYA,OPEN AREA,AERIAL,JABAR,C,INDIHOME
BUMI BEKASI BARU 1 / PERUMAHAN RAWA LUMBU (2) RW 04,ACTIVE,99,UNDER 200,KODYA BEKASI,KOTAMADYA,OPEN AREA,AERIAL,JABAR,C,INDIHOME
